,title,year,rating,certificate,votes,runtime,gener,voice_artist1,voice_artist2,voice_artist3,voice_artist4
0,Avatar: The Last Airbender,2005–2008,9.2,U,"2,53,806",23,"Animation, Action, Adventure            ",Dee Bradley Baker,Zach Tyler,Mae Whitman,Jack De Sena
1,Hagane no renkinjutsushi,2009–2012,9.1,18+,"1,26,138",24,"Animation, Action, Adventure            ",Kent Williams,Iemasa Kayumi,Vic Mignogna,Muriel Hofmann
2,Ginga eiyû densetsu,1988–1997,9.1,NA,"2,352",25,"Animation, Drama, Sci-Fi            ",Yûsaku Yara,Ryô Horikawa,Katsuji Mori,Nozomu Sasaki
3,Death Note: Desu nôto,2006–2007,9,16+,"2,46,799",24,"Animation, Crime, Drama            ",Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô
4,Mushishi: Zoku Shou,2014–    ,8.9,NA,"2,310",24,"Animation, Drama, Fantasy            ",Mika Doi,Yûto Nakano,Daisuke Kishio,Akira Matsushita
5,Shingeki no kyojin,2013–    ,8.9,13,"2,19,951",24,"Animation, Action, Adventure            ",Yûki Kaji,Marina Inoue,Josh Grelle,Yui Ishikawa
6,Hunter x Hunter,2011–2014,8.9,16,"61,399",24,"Animation, Action, Adventure            ",Issei Futamata,Megumi Han,Cristina Valenzuela,Mariya Ise
7,Ginga: Nagareboshi gin,1986– ,8.9,NA,"2,524",22,"Animation, Action, Adventure            ",Eiko Yamada,NA,NA,NA
8,Kaubôi bibappu,1998–1999,8.9,NA,"91,437",24,"Animation, Action, Adventure            ",Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara,Steve Blum
9,One Punch Man: Wanpanman,2015–    ,8.8,16+,"1,20,206",24,"Animation, Action, Comedy            ",Makoto Furukawa,Kaito Ishikawa,Max Mittelman,Zach Aguilar
10,Steins;Gate,2011–2015,8.8,16,"46,425",24,"Animation, Comedy, Drama            ",Mamoru Miyano,Asami Imai,Kana Hanazawa,Ashly Burch
11,Vinland Saga,2019,8.8,NA,"16,077",24,"Animation, Action, Adventure            ",Naoya Uchida,Hiroki Yasumoto,Yûto Uemura,Kenshô Ono
12,Hajime no ippo,2000–2002,8.8,NA,"5,395",20,"Animation, Action, Comedy            ",Steve Staley,Richard Epcar,D.C. Douglas,Richard Cansino
13,Demon Slayer: Kimetsu No Yaiba,2019–    ,8.7,16,"33,177",25,"Animation, Action, Fantasy            ",Natsuki Hanae,Zach Aguilar,Abby Trott,Aleks Le
14,Hajime No Ippo: Rising,2013–    ,8.7,NA,"1,754",20,"Animation, Action, Comedy            ",Kôhei Kiyasu,Rikiya Koyama,Akio Ôtsuka,NA
15,Haikyuu!!,2014–2020,8.7,13,"12,450",24,"Animation, Comedy, Drama            ",Ayumu Murase,Kaito Ishikawa,Yu Hayashi,Satoshi Hino
16,Hajime no Ippo: New Challenger,2009–    ,8.7,NA,"2,016",25,"Animation, Action, Comedy            ",Keiji Fujiwara,Yuka Hirata,Kôhei Kiyasu,Rikiya Koyama
17,Jujutsu Kaisen,2020–    ,8.7,NA,"12,813",24,"Animation, Action, Adventure            ",Junya Enoki,Yûichi Nakamura,Yuma Uchida,Asami Seto
18,Slam Dunk: Suramu danku,1993–1996,8.7,NA,"4,530",22,"Animation, Comedy, Drama            ",Hisao Egawa,Eriko Hara,Akiko Hiramatsu,Yukimasa Kishino
19,One Piece: Wan pîsu,1999–    ,8.7,7,"73,949",24,"Animation, Action, Adventure            ",Mayumi Tanaka,Tony Beck,Laurent Vernin,Akemi Okamura
20,Kenpû Denki Berserk,1997–1998,8.7,NA,"29,643",23,"Animation, Action, Adventure            ",Nobutoshi Canna,Marc Diraison,Carrie Keranen,Kevin T. Collins
21,Dragon Ball Z,1996–2003,8.7,NA,"1,14,681",24,"Animation, Action, Adventure            ",Doc Harris,Christopher Sabat,Scott McNeil,Sean Schemmel
22,Taiyô no ko Esteban,1982–1983,8.7,NA,"3,552",28,"Animation, Adventure, Comedy            ",Janice Chaikelson,Adrian Knight,Michael Rudder,Terrence Labrosse
23,Dragon Ball Z: Doragon bôru zetto,1989–1996,8.7,NA,"69,669",24,"Animation, Action, Adventure            ",Jôji Yanami,Kyle Hebert,Masako Nozawa,Christopher Sabat
24,Mirai shônen Konan,1978,8.7,NA,"3,749",24,"Animation, Adventure, Comedy            ",Noriko Ohara,Masatô Ibu,Mieko Nobusawa,Kazuyo Aoki
25,Yakusoku no Neverland,2019–2021,8.6,NA,"24,765",23,"Animation, Adventure, Drama            ",Sumire Morohoshi,Mariya Ise,Shinei Ueki,Lynn
26,Shigatsu wa kimi no uso,2014–2015,8.6,NA,"18,450",23,"Animation, Drama, Music            ",Natsuki Hanae,Risa Taneda,Ayane Sakura,Ryôta Ôsaka
27,InuYasha: Kanketsu-hen,2009–2010,8.6,NA,"2,609",24,"Animation, Action, Adventure            ",Kappei Yamaguchi,Satsuki Yukino,Kumiko Watanabe,Kôji Tsujitani
28,Clannad: After Story,2008–2009,8.6,NA,"9,255",24,"Animation, Comedy, Drama            ",Yûichi Nakamura,David Matranga,Luci Christian,Mai Nakahara
29,Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,2006–2012,8.6,16,"52,549",24,"Animation, Action, Drama            ",Johnny Yong Bosch,Yuri Lowenthal,Jun Fukuyama,Takahiro Sakurai
30,Naruto: Shippûden,2007–2017,8.6,7,"87,701",24,"Animation, Action, Adventure            ",Junko Takeuchi,Maile Flanagan,Kate Higgins,Chie Nakamura
31,Gintama,2005–2018,8.6,16,"7,313",25,"Animation, Action, Comedy            ",Tomokazu Sugita,Daisuke Sakaguchi,Rie Kugimiya,Kazuya Nakai
32,Monster,2004–2010,8.6,NA,"21,402",24,"Animation, Crime, Drama            ",Hidenobu Kiuchi,Liam O'Brien,Mamiko Noto,Karen Strassman
33,Hunter x Hunter,1999–2001,8.6,All,"6,390",23,"Animation, Action, Adventure            ",Hozumi Gôda,Yuki Kaida,Junko Takeuchi,Annika Odegard
34,GTO,1999–2000,8.6,18,"7,051",24,"Animation, Comedy, Drama            ",Steve Blum,Tom Fahn,Jun'ichi Suwabe,Wataru Takagi
35,Chôjikû Yôsai Macross,1982–1983,8.6,NA,"1,909",25,"Animation, Action, Adventure            ",Arihiro Hase,Mari Iijima,Vic Mignogna,Monica Rial
36,Fruits Basket,2019–    ,8.5,16,"2,128",23,"Animation, Comedy, Drama            ",Manaka Iwami,Nobunaga Shimazaki,Yuma Uchida,Yûichi Nakamura
37,Mob Psycho 100,2016–    ,8.5,16,"16,694",24,"Animation, Action, Comedy            ",Setsuo Ito,Takahiro Sakurai,Akio Ôtsuka,Miyu Irino
38,Boku no hîrô akademia,2016–    ,8.5,16,"38,357",24,"Animation, Action, Adventure            ",Daiki Yamashita,Nobuhiko Okamoto,Ayane Sakura,Justin Briner
39,Monogatari Series: Second Season,2013–    ,8.5,NA,"1,812",25,"Animation, Adventure, Comedy            ",Yôji Ueda,Saori Hayami,Kaori Mizuhashi,Ken Narita
40,Mushishi,2005–2006,8.5,NA,"11,981",25,"Animation, Drama, Fantasy            ",Yûto Nakano,Travis Willingham,Kôjun Itô,Jennifer Seman
41,Saint Seiya: The Hades Chapter,2002–2008,8.5,NA,"2,830",25,"Animation, Action, Adventure            ",Takumi Yamazaki,Maaya Sakamoto,Katsuyuki Konishi,Masakazu Morita
42,Samurai chanpurû,2004–2005,8.5,NA,"41,504",24,"Animation, Action, Adventure            ",Kazuya Nakai,Ginpei Sato,Ayako Kawasumi,Steve Blum
43,Hagane no renkinjutsushi,2003–2004,8.5,16,"63,149",24,"Animation, Action, Adventure            ",Vic Mignogna,Aaron Dismuke,Romi Pak,Rie Kugimiya
44,Kôkaku kidôtai: Stand Alone Complex,2002–2005,8.5,18,"18,014",24,"Animation, Action, Crime            ",Shirô Saitô,Mary Elizabeth McGlynn,William Frederick Knight,Richard Epcar
45,Dragon Ball,1995–2003,8.5,NA,"53,842",24,"Animation, Action, Adventure            ",Brice Armstrong,Steve Olson,Stephanie Nadolny,Zoe Slusar
46,Yu yu hakusho,1992–1995,8.5,U,"11,670",24,"Animation, Action, Adventure            ",Nozomu Sasaki,Justin Cook,Christopher Sabat,Cynthia Cranz
47,Rurôni Kenshin - Meiji kenkaku romantan,1996–1999,8.5,NA,"17,679",24,"Animation, Action, Adventure            ",Mayo Suzukaze,Richard Cansino,Dorothy Elias-Fahn,Rebecca Forstadt
48,Seinto Seiya,1986–1989,8.5,NA,"9,271",24,"Animation, Action, Adventure            ",Hideyuki Tanaka,Tôru Furuya,Ryô Horikawa,Kôichi Hashimoto
49,Shin seiki evangerion,1995–1996,8.5,U,"52,393",24,"Animation, Action, Drama            ",Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi,Spike Spencer
50,Robotech,1985,8.5,NA,"3,441",30,"Animation, Action, Adventure            ",Richard Epcar,Steve Kramer,Tom Wyner,Robert Axelrod
51,Dragon Ball: Doragon bôru,1986–1989,8.5,U,"48,791",24,"Animation, Action, Adventure            ",Masako Nozawa,Jôji Yanami,Brice Armstrong,Stephanie Nadolny
52,Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~,2019–    ,8.4,16,"5,129",24,"Animation, Comedy, Romance            ",Aoi Koga,Makoto Furukawa,Konomi Kohara,Yutaka Aoyama
53,Dororo,2019,8.4,NA,"7,304",30,"Animation, Action, Adventure            ",Rio Suzuki,Mugihito,Hiroki Suzuki,Mutsumi Sasaki
54,Rilakkuma to Kaorusan,2019,8.4,NA,"1,360",12,"Animation, Comedy, Drama            ",Veronica Taylor,Abby Trott,Barbara Goodson,Chris Hackney
55,Kyaputen Tsubasa,2018–    ,8.4,NA,"1,237",22,"Animation, Adventure, Drama            ",Mauriett Chayeb,Yûko Sanpei,Nobuo Tanaka,Kenji Suzumura
56,Made in Abyss,2017–    ,8.4,NA,"6,645",25,"Animation, Adventure, Drama            ",Miyu Tomita,Mariya Ise,Luci Christian,Brittany Lauda
57,Sangatsu no Lion,2016–2018,8.4,NA,"1,779",25,"Animation, Comedy, Drama            ",Kengo Kawanishi,Khoi Dao,Ai Kayano,Kana Hanazawa
58,Steins;Gate 0,2018,8.4,NA,"5,844",30,"Animation, Drama, Mystery            ",J. Michael Tatum,Monica Rial,Tyson Rinehart,Cherami Leigh
59,Dragon Ball Super: Doragon bôru cho,2015–2018,8.4,7,"24,321",24,"Animation, Action, Adventure            ",Masako Nozawa,Naoki Tatsuta,Ryô Horikawa,Sean Schemmel
60,JoJo no kimyô-na bôken,2012–    ,8.4,18,"10,918",30,"Animation, Action, Adventure            ",Matthew Mercer,Daisuke Ono,Unshô Ishizuka,David Vincent
61,The Legend of Korra,2012–2014,8.4,NA,"1,05,850",23,"Animation, Action, Adventure            ",Janet Varney,P.J. Byrne,David Faustino,J.K. Simmons
62,Nana,2006–2007,8.4,NA,"2,780",21,"Animation, Comedy, Drama            ",Romi Pak,Kaori,Brian Drummond,Toshiyuki Morikawa
63,Kino no tabi,2003,8.4,NA,"2,510",25,"Animation, Adventure, Drama            ",Ai Maeda,Ryuji Aigase,Kelli Cousins,Cynthia Martinez
