,title,year,rating,metascore,certificate,votes,runtime,gener,director,star1,star2,star3,star4,gross
0,Soorarai Pottru,2020,8.6,na,U,"58,742",153 min,Drama            ,Sudha Kongara,Suriya,Madhavan,Aparna Balamurali,Paresh Rawal,0
1,Gol Maal,1979,8.6,na,U,"18,169",144 min,"Comedy, Romance            ",Hrishikesh Mukherjee,Amol Palekar,Bindiya Goswami,Deven Verma,Shubha Khote,0
2,Black Friday,2004,8.5,76,(Banned),"19,125",143 min,"Action, Crime, Drama            ",Anurag Kashyap,Kay Kay Menon,Pawan Malhotra,Aditya Srivastav,Dibyendu Bhattacharya,$0.03M
3,Vada Chennai,2018,8.4,na,18,"11,815",164 min,"Action, Crime, Drama            ",Vetrimaaran,Dhanush,Ameer Sultan,Radha Ravi,Daniel Balaji,0
4,Dangal,2016,8.4,na,U,"161,054",161 min,"Action, Biography, Drama            ",Nitesh Tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,$12.39M
5,3 Idiots,2009,8.4,67,UA,"351,003",170 min,"Comedy, Drama            ",Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,Sharman Joshi,$6.53M
6,Taare Zameen Par,2007,8.4,na,U,"172,864",165 min,"Drama, Family            ",Aamir Khan,Amole Gupte,Darsheel Safary,Aamir Khan,Tisca Chopra,$1.22M
7,Jaane Bhi Do Yaaro,1983,8.4,na,U,"13,326",132 min,"Comedy, Crime, Drama            ",Kundan Shah,Naseeruddin Shah,Ravi Baswani,Bhakti Barve,Satish Shah,0
8,Tumbbad,2018,8.3,na,A,"29,568",104 min,"Drama, Fantasy, Horror            ",Rahi Anil Barve,Anand Gandhi,Adesh Prasad,Sohum Shah,Jyoti Malshe,0
9,Khosla Ka Ghosla!,2006,8.3,na,U,"22,454",135 min,"Comedy, Crime, Drama            ",Dibakar Banerjee,Anupam Kher,Boman Irani,Parvin Dabas,Tara Sharma,$0.03M
10,Chupke Chupke,1975,8.3,na,U,"11,763",146 min,"Comedy, Drama, Romance            ",Hrishikesh Mukherjee,Dharmendra,Sharmila Tagore,Amitabh Bachchan,Jaya Bachchan,0
11,Anand,1971,8.3,na,U,"31,258",122 min,"Drama, Musical            ",Hrishikesh Mukherjee,Rajesh Khanna,Amitabh Bachchan,Sumita Sanyal,Ramesh Deo,0
12,Chhichhore,2019,8.2,na,UA,"35,388",143 min,"Comedy, Drama            ",Nitesh Tiwari,Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma,Prateik,$0.90M
13,Uri: The Surgical Strike,2018,8.2,na,UA,"44,371",138 min,"Action, Drama, War            ",Aditya Dhar,Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam,$4.19M
14,Andhadhun,2018,8.2,na,UA,"74,926",139 min,"Crime, Drama, Music            ",Sriram Raghavan,Ayushmann Khurrana,Tabu,Radhika Apte,Anil Dhawan,$1.37M
15,Talvar,2015,8.2,na,UA,"31,645",132 min,"Crime, Drama, Mystery            ",Meghna Gulzar,Irrfan Khan,Konkona Sen Sharma,Neeraj Kabi,Sohum Shah,$0.34M
16,Masaan,2015,8.2,na,A,"24,304",109 min,Drama            ,Neeraj Ghaywan,Richa Chadha,Sanjay Mishra,Vicky Kaushal,Pankaj Tripathi,0
17,Drishyam,2015,8.2,na,UA,"72,702",163 min,"Crime, Drama, Mystery            ",Nishikant Kamat,Ajay Devgn,Shriya Saran,Tabu,Rajat Kapoor,$0.74M
18,Queen,2013,8.2,na,UA,"61,243",146 min,"Adventure, Comedy, Drama            ",Vikas Bahl,Kangana Ranaut,Rajkummar Rao,Lisa Haydon,Jeffrey Ho,$1.43M
19,Bhaag Milkha Bhaag,2013,8.2,na,U,"61,742",186 min,"Biography, Drama, Sport            ",Rakeysh Omprakash Mehra,Farhan Akhtar,Sonam Kapoor,Pawan Malhotra,Art Malik,$1.63M
20,Shahid,2012,8.2,na,A,"15,407",129 min,"Biography, Drama            ",Hansal Mehta,Rajkummar Rao,Prabhleen Sandhu,Mohd. Zeeshan Ayyub,Baljinder Kaur,0
21,Gangs of Wasseypur,2012,8.2,89,A,"84,025",321 min,"Action, Comedy, Crime            ",Anurag Kashyap,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,Tigmanshu Dhulia,0
22,Udaan,2010,8.2,na,UA,"42,731",134 min,Drama            ,Vikramaditya Motwane,Rajat Barmecha,Ronit Roy,Manjot Singh,Ram Kapoor,$0.01M
23,Paan Singh Tomar,2012,8.2,na,UA,"33,600",135 min,"Action, Biography, Crime            ",Tigmanshu Dhulia,Irrfan Khan,Mahie Gill,Rajesh Abhay,Hemendra Dandotiya,$0.04M
24,Zindagi Na Milegi Dobara,2011,8.2,na,U,"68,973",155 min,"Comedy, Drama            ",Zoya Akhtar,Hrithik Roshan,Farhan Akhtar,Abhay Deol,Katrina Kaif,$3.11M
25,Article 15,2019,8.2,na,UA,"24,454",130 min,"Crime, Drama, Mystery            ",Anubhav Sinha,Ayushmann Khurrana,Nassar,Manoj Pahwa,Kumud Mishra,0
26,Chak De! India,2007,8.2,68,U,"74,892",153 min,"Drama, Family, Sport            ",Shimit Amin,Shah Rukh Khan,Vidya Malvade,Sagarika Ghatge,Shilpa Shukla,$1.11M
27,Rang De Basanti,2006,8.2,na,UA,"113,399",167 min,"Comedy, Crime, Drama            ",Rakeysh Omprakash Mehra,Aamir Khan,Soha Ali Khan,Siddharth,Sharman Joshi,$2.20M
28,Black,2005,8.2,na,U,"33,578",122 min,Drama            ,Sanjay Leela Bhansali,Amitabh Bachchan,Rani Mukerji,Shernaz Patel,Ayesha Kapoor,$0.73M
29,"Swades: We, the People",2004,8.2,na,U,"83,890",210 min,Drama            ,Ashutosh Gowariker,Shah Rukh Khan,Gayatri Joshi,Kishori Ballal,Smit Sheth,$1.22M
30,Hera Pheri,2000,8.2,na,U,"58,011",156 min,"Action, Comedy, Crime            ",Priyadarshan,Akshay Kumar,Sunil Shetty,Paresh Rawal,Tabu,0
31,Satya,1998,8.2,na,A,"13,625",170 min,"Action, Crime, Drama            ",Ram Gopal Varma,J.D. Chakravarthi,Manoj Bajpayee,Urmila Matondkar,Paresh Rawal,0
32,Andaz Apna Apna,1994,8.2,na,U,"49,719",160 min,"Action, Comedy, Romance            ",Rajkumar Santoshi,Aamir Khan,Salman Khan,Raveena Tandon,Karisma Kapoor,0
33,Jo Jeeta Wohi Sikandar,1992,8.2,na,U,"21,870",174 min,"Comedy, Drama, Romance            ",Mansoor Khan,Aamir Khan,Ayesha Jhulka,Deepak Tijori,Pooja Bedi,0
34,Sholay,1975,8.2,na,U,"51,814",204 min,"Action, Adventure, Comedy            ",Ramesh Sippy,Sanjeev Kumar,Dharmendra,Amitabh Bachchan,Amjad Khan,0
35,Section 375,2019,8.1,na,UA,"12,392",124 min,"Crime, Drama, Mystery            ",Ajay Bahl,Akshaye Khanna,Richa Chadha,Rahul Bhatt,Meera Chopra,0
36,Pink,III),8.1,na,UA,"39,999",136 min,"Drama, Thriller            ",Aniruddha Roy Chowdhury,Taapsee Pannu,Amitabh Bachchan,Kirti Kulhari,Andrea Tariang,$1.24M
37,Haider,2014,8.1,na,UA,"50,874",160 min,"Action, Crime, Drama            ",Vishal Bhardwaj,Shahid Kapoor,Tabu,Shraddha Kapoor,Kay Kay Menon,$0.90M
38,PK,2014,8.1,na,UA,"165,557",153 min,"Comedy, Drama, Musical            ",Rajkumar Hirani,Aamir Khan,Anushka Sharma,Sanjay Dutt,Boman Irani,$10.62M
39,OMG: Oh My God!,2012,8.1,na,U,"52,419",125 min,"Comedy, Drama, Fantasy            ",Umesh Shukla,Paresh Rawal,Akshay Kumar,Mithun Chakraborty,Mahesh Manjrekar,$0.92M
40,Vishwaroopam,2013,8.1,na,UA,"38,921",148 min,"Action, Thriller            ",Kamal Haasan,Pooja Kumar,Miles Anderson,Kamal Haasan,Rahul Bose,0
41,Barfi!,2012,8.1,na,U,"76,522",151 min,"Comedy, Drama, Romance            ",Anurag Basu,Ranbir Kapoor,Priyanka Chopra,Ileana D'Cruz,Saurabh Shukla,$2.80M
42,Kahaani,2012,8.1,na,UA,"58,367",122 min,"Mystery, Thriller            ",Sujoy Ghosh,Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta,Nawazuddin Siddiqui,$1.04M
43,A Wednesday,2008,8.1,na,UA,"74,407",104 min,"Action, Crime, Drama            ",Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,Aamir Bashir,0
44,Gulaal,2009,8.1,na,A,"14,068",140 min,"Crime, Drama, Thriller            ",Anurag Kashyap,Kay Kay Menon,Raj Singh Chaudhary,Jesse Randhawa,Deepak Dobriyal,0
45,Omkara,2006,8.1,na,A,"19,375",155 min,"Action, Crime, Drama            ",Vishal Bhardwaj,Ajay Devgn,Kareena Kapoor,Saif Ali Khan,Konkona Sen Sharma,$0.79M
46,Lage Raho Munna Bhai,2006,8.1,na,U,"43,559",144 min,"Comedy, Drama, Romance            ",Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Vidya Balan,Boman Irani,$2.22M
47,Iqbal,2005,8.1,na,UA,"16,007",132 min,"Drama, Sport            ",Nagesh Kukunoor,Shreyas Talpade,Naseeruddin Shah,Shweta Basu Prasad,Yatin Karyekar,0
48,Munna Bhai M.B.B.S.,2003,8.1,na,U,"74,779",156 min,"Comedy, Drama            ",Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Gracy Singh,Sunil Dutt,0
49,The Legend of Bhagat Singh,2002,8.1,na,U,"15,000",155 min,"Action, Biography, Drama            ",Rajkumar Santoshi,Ajay Devgn,Sushant Singh,D. Santosh,Akhilendra Mishra,0
50,Dil Chahta Hai,2001,8.1,na,Unrated,"67,423",183 min,"Comedy, Drama, Romance            ",Farhan Akhtar,Aamir Khan,Saif Ali Khan,Akshaye Khanna,Preity Zinta,$0.30M
51,Sarfarosh,1999,8.1,na,A,"24,157",174 min,"Action, Drama            ",John Mathew Matthan,Aamir Khan,Naseeruddin Shah,Sonali Bendre,Mukesh Rishi,0
